Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,45.036667,45.316666,44.049999,44.669998,44.352684,4759500
2018-04-24,45.259998,45.349998,42.003334,42.880001,42.575401,9785400
2018-04-25,42.799999,43.406666,41.803333,43.169998,42.863338,7777500
2018-04-26,43.706665,44.913334,43.470001,44.486668,44.170650,4868100
2018-04-27,44.820000,44.973331,44.049999,44.560001,44.243465,4747500
2018-04-30,44.910000,45.223331,43.483334,43.516666,43.207542,5589300
2018-05-01,43.246666,43.830002,42.363335,43.756668,43.445839,5593800
2018-05-02,43.653332,44.106667,42.653332,42.833332,42.529060,4910400
2018-05-03,42.349998,42.930000,40.833332,42.543335,42.241119,8204100
2018-05-04,42.036667,44.593334,41.849998,44.203335,43.889336,6670200
2018-05-07,44.653332,45.200001,44.256668,44.636665,44.319584,6084600
2018-05-08,44.410000,44.840000,43.753334,44.650002,44.332825,4633800
2018-05-09,45.003334,46.106667,44.733334,45.956665,45.630207,5565300
2018-05-10,46.320000,47.389999,46.290001,47.216667,46.881264,6376500
2018-05-11,47.290001,47.790001,46.973331,47.483334,47.146030,5797200
2018-05-14,47.866665,48.259998,47.373333,47.686668,47.347923,5231700
2018-05-15,46.959999,46.973331,46.153332,46.666668,46.335167,6015000
2018-05-16,46.680000,47.533333,46.680000,47.259998,46.924282,3451500
2018-05-17,47.076668,47.770000,46.683334,47.146667,46.811756,5168700
2018-05-18,46.943333,47.133335,46.570000,46.779999,46.447693,4577400
2018-05-21,47.633335,48.150002,47.419998,47.826668,47.486927,5125500
2018-05-22,48.176666,48.290001,47.230000,47.419998,47.083145,4187400
2018-05-23,46.633335,47.816666,46.560001,47.786667,47.447208,3815100
2018-05-24,47.590000,47.700001,46.430000,47.520000,47.182434,2704600
2018-05-25,47.169998,47.500000,46.830002,47.119999,46.785275,2305900
2018-05-29,46.169998,46.599998,44.840000,45.570000,45.246288,4960400
2018-05-30,46.290001,47.560001,46.200001,47.310001,46.973927,4252400
2018-05-31,47.009998,47.209999,46.060001,46.330002,46.000893,4006400
