Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,49.853333,50.439999,48.000000,48.783333,48.700237,15416700
2018-04-24,49.426666,49.696667,44.720001,45.673332,45.595535,26627400
2018-04-25,45.893333,46.400002,43.959999,45.853333,45.775227,26352000
2018-04-26,47.596668,49.166668,47.139999,48.696667,48.613716,17749200
2018-04-27,50.826668,50.883335,47.973331,48.810001,48.726860,20607300
2018-04-30,49.136665,50.033333,47.376667,47.770000,47.688629,20140500
2018-05-01,47.353333,49.386665,47.043335,49.323334,49.239319,14622300
2018-05-02,49.650002,50.083332,48.333332,48.463333,48.380783,17956500
2018-05-03,47.816666,48.996666,46.150002,48.466667,48.384109,24509100
2018-05-04,47.853333,51.549999,47.726665,51.193333,51.106129,23241600
2018-05-07,51.953335,52.976665,51.793335,52.410000,52.320724,17382900
2018-05-08,52.130001,52.646667,51.169998,52.236668,52.147686,15839400
2018-05-09,52.599998,54.116665,52.033333,53.986668,53.894707,14374500
2018-05-10,54.500000,55.779999,54.380001,55.666668,55.571846,14875800
2018-05-11,55.383335,55.873333,54.766666,55.500000,55.405460,14962200
2018-05-14,55.849998,56.830002,55.500000,55.746666,55.651707,13647900
2018-05-15,54.419998,54.513332,53.046665,53.943333,53.851448,21815100
2018-05-16,54.066666,55.333332,54.053333,54.936668,54.843090,11214000
2018-05-17,54.376667,55.563332,53.509998,54.316666,54.224144,12902400
2018-05-18,53.696667,54.233334,53.226665,53.446667,53.355625,10683300
2018-05-21,54.673332,55.410000,53.666668,54.380001,54.287369,14611500
2018-05-22,55.076668,55.366665,53.860001,54.096668,54.004524,12117900
2018-05-23,52.900002,55.490002,52.846668,55.456665,55.362202,15380700
2018-05-24,55.439999,55.709999,53.740002,55.410000,55.315617,8888800
2018-05-25,55.430000,56.160000,55.070000,55.549999,55.455379,7885200
2018-05-29,54.790001,55.779999,53.830002,54.840000,54.746590,11806400
2018-05-30,55.400002,56.279999,55.049999,56.009998,55.914593,8850800
2018-05-31,55.930000,56.980000,55.439999,55.889999,55.794796,10132100
2018-06-01,56.650002,58.580002,56.650002,58.490002,58.390373,9646400
2018-06-04,58.900002,60.099998,58.820000,59.990002,59.887814,8006200
2018-06-05,60.470001,60.910000,59.810001,60.610001,60.506760,6987500
